name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Weidmann Pilsner,196,0.12373737373737374,4.8,330
Edelmeister Pilsener,649,0.14422222222222222,4.5,1000
Víking Lager,329,0.14622222222222223,4.5,500
Karpackie Pils Export,299,0.1495,4.0,500
Polar Beer,339,0.15066666666666667,4.5,500
Saku Originaal,349,0.1517391304347826,4.6,500
Martens Gold,354,0.15391304347826087,4.6,500
Edelmeister Pilsener,349,0.15511111111111112,4.5,500
Harboe Pilsner,389,0.1556,5.0,500
St Omer Blonde,389,0.1556,5.0,500
Faxe Premium,358,0.15565217391304348,4.6,500
Faxe Classic,359,0.15608695652173912,4.6,500
Víking Rökkr,359,0.15608695652173912,4.6,500
Edelmeister Gluten Free Lager,329,0.15666666666666668,4.2,500
Martens Premium,398,0.1592,5.0,500
Harboe Pilsner,242,0.15942028985507248,4.6,330
Harboe Classic,242,0.15942028985507248,4.6,330
Hollandia,375,0.1595744680851064,4.7,500
Slots Classic,243,0.16007905138339923,4.6,330
Slots Pilsner,243,0.16007905138339923,4.6,330
Edelmeister Pilsener,239,0.16094276094276094,4.5,330
Svyturys Ekstra,477,0.16149783315276273,5.2,568
Oranjeboom,406,0.1624,5.0,500
Royal Dutch Extra Smooth Premium Lager,352,0.16372093023255813,4.3,500
Tuborg Grön,369,0.164,4.5,500
Harboe Gold,484,0.1640677966101695,5.9,500
Krombacher Pils,394,0.16416666666666666,4.8,500
Alexander Pint,485,0.16420639219934996,5.2,568
Faxe Amber,429,0.165,5.2,500
A.Le Coq Premium,389,0.16553191489361702,4.7,500
St Omer Blonde,274,0.16606060606060605,5.0,330
Faxe Royal,465,0.16607142857142856,5.6,500
Bavaria,419,0.1676,5.0,500
Lomza Export,479,0.16807017543859648,5.7,500
Martens Premium,278,0.1684848484848485,5.0,330
Martens Gold,256,0.16864295125164694,4.6,330
Salitos Tequila,498,0.1688135593220339,5.9,500
Harboe Gold,330,0.1694915254237288,5.9,330
Staropramen Premium,424,0.1696,5.0,500
Martens Ultra,224,0.1696969696969697,4.0,330
Krombacher Pils,269,0.16982323232323232,4.8,330
Faxe Premium,259,0.17061923583662716,4.6,330
Slots Guld,334,0.17154596815613762,5.9,330
Edelmeister Weizenbier,449,0.1726923076923077,5.2,500
Tuborg Gold,479,0.1741818181818182,5.5,500
Polar Beer,259,0.1744107744107744,4.5,330
