name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Farfalla Spumante Bianco Demi Sec,1390,0.20592592592592593,9.0,750
Farfalla Spumante Rosato Demi Sec,1390,0.20592592592592593,9.0,750
Platino Pink Moscato,1098,0.20914285714285713,7.0,750
Delapierre Etiqueta Negra Seco,1899,0.22017391304347825,11.5,750
Jaume Serra Semi Seco,1989,0.2306086956521739,11.5,750
Jaume Serra Brut Nature Traditional Method,1989,0.2306086956521739,11.5,750
Jaume Serra Brut,1989,0.2306086956521739,11.5,750
Delapierre Etiqueta Negra Brut,1999,0.23176811594202898,11.5,750
Jaume Serra Bouquet Brut,2019,0.23408695652173914,11.5,750
Jaume Serra Rosado Brut,2019,0.23408695652173914,11.5,750
Jaume Serra Organic Brut,2019,0.23408695652173914,11.5,750
Kirkland Asolo Prosecco,1963,0.23793939393939395,11.0,750
Casalforte Prosecco Extra Dry,1998,0.2421818181818182,11.0,750
Canti Prosecco Millesimato Extra Dry,1998,0.2421818181818182,11.0,750
Jaume Serra Vintage Brut Nature Reserva,2099,0.2433623188405797,11.5,750
Henkell Blanc de Blancs Dry Sec,2161,0.25055072463768113,11.5,750
Veuve du Vernay Ice Rose Demi Sec,2099,0.25442424242424244,11.0,750
Veuve du Vernay Ice Demi Sec,2099,0.25442424242424244,11.0,750
Jaume Serra Brut Nature,1099,0.25484057971014495,11.5,375
Martini Prosecco,2199,0.2549565217391304,11.5,750
Codorniu Clasico Rosado Brut,2299,0.2554444444444444,12.0,750
Blue Nun Sparkling Rose,2148,0.26036363636363635,11.0,750
Tesouro Da Se Bruto,2381,0.26455555555555554,12.0,750
Nani Prosecco Vegan Organic extra dry,2187,0.2650909090909091,11.0,750
Freixenet Organic Brut Metodo Tradicional,2390,0.26555555555555554,12.0,750
Codorniu Clasico Semi Sec,2299,0.26655072463768115,11.5,750
Jacob's Creek Sparkling Rose,2299,0.26655072463768115,11.5,750
Neleman Brut Organic,2299,0.26655072463768115,11.5,750
Jacqueline Brut Blanc de Blancs,2299,0.26655072463768115,11.5,750
Segura Viudas Brut Reserva,2399,0.26655555555555555,12.0,750
Jaume Serra Brut Nature Reserva,4599,0.26660869565217393,11.5,1500
Maschio Prosecco Treviso Extra Dry,2260,0.2739393939393939,11.0,750
Pierre Ponnelle Brut Chardonnay Prestige Methode Traditionnelle,2490,0.27666666666666667,12.0,750
Freixenet Cordon Negro Seco,2390,0.27710144927536234,11.5,750
Freixenet Gran Seleccion Cordon Negro Brut,2390,0.27710144927536234,11.5,750
Jaume Serra Brut Nature,639,0.2778260869565217,11.5,200
Voga Prosecco Rose,2296,0.27830303030303033,11.0,750
JP. Chenet Ice Edition,2299,0.2786666666666667,11.0,750
Piccini Prosecco Extra Dry,2299,0.2786666666666667,11.0,750
JP. Chenet Ice Edition,4599,0.2787272727272727,11.0,1500
Canti Asti Liberty Dolce,1698,0.283,8.0,750
Henkell Blanc de Blancs,655,0.2847826086956522,11.5,200
Amaluna Brut Traditional Method,2699,0.28789333333333333,12.5,750
Ramiro II Brut,2489,0.28857971014492756,11.5,750
Santero Prosecco,2490,0.288695652173913,11.5,750
Bresset & Morel Blanc de Blancs Brut,2599,0.2887777777777778,12.0,750
Mionetto Prosecco Rose Millesimato,2390,0.2896969696969697,11.0,750
La Gioiosa Rose Brut Prosecco Millesimtato,2390,0.2896969696969697,11.0,750
Mionetto Prosecco Treviso Brut,2390,0.2896969696969697,11.0,750
La Gioiosa Brut Prosecco Treviso,2390,0.2896969696969697,11.0,750
Casalforte Prosecco Extra Dry,1198,0.2904242424242424,11.0,375
Krone Night Nectar Demi Sec,2397,0.29054545454545455,11.0,750
La Marca Prosecco,2398,0.2906666666666667,11.0,750
