name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Don Simon Sangria Bio,899,12.843,7.0,1000
Platino Blue Moscato,799,15.219,7.0,750
Don Simon BIO Sangria Premium,999,15.671,8.5,750
Don Simon Sangría,1199,17.129,7.0,1000
Don Simon Sangría,399,17.273,7.0,330
alska strawberry & lime fruit cider,399,19.95,4.0,500
Stowford Press Apple Cider,459,20.4,4.5,500
Crush Cloudy Mango & Passionfruit,460,20.444,4.5,500
Crush Cloudy Raspberry,460,20.444,4.5,500
Crush Cloudy Peach,460,20.444,4.5,500
Saku on Ice Refreshing Citrus,279,21.136,4.0,330
Saku on Ice Sunny Plum,279,21.136,4.0,330
Rose d'Amour Hannas Cider,439,22.548,5.9,330
Somersby Apple,339,22.828,4.5,330
Le Coq Blue Lagoon,359,23.146,4.7,330
Le Coq Margarita Watermelon,359,23.146,4.7,330
Le Coq Mojito Classic,359,23.146,4.7,330
Sex on the beach,359,23.146,4.7,330
Le Coq Pina Colada,359,23.146,4.7,330
Marinella Fruit Aperitif,3667,23.283,21.0,750
Mokai Elderflower,349,23.502,4.5,330
Kopparberg Strawberry Lime Cider,359,24.175,4.5,330
nordic cider hard apple,379,24.436,4.7,330
Og natura Vök basil gimlet kokteill,999,25.227,12.0,330
nordic cider elderflower & lime,379,25.522,4.5,330
Kopparberg Naked Apple,379,25.522,4.5,330
Kopparberg with Strawberry & Pineapple Premium Cider,299,26.649,3.4,330
Low Low Sparkling Fresh Hard Seltzer,399,26.869,4.5,330
Low Low Rose Spritz,399,26.869,4.5,330
Low Low Flower Tonic Hard Seltzer,399,26.869,4.5,330
Somersby Apple kútur 25 lítrar,31652,28.135,4.5,25000
Somersby Apple,429,28.889,4.5,330
Víking Lite Seltzer Lime,429,29.545,4.4,330
Víking Lite Seltzer Passion,429,29.545,4.4,330
alska passion fruit apple cider,599,29.95,4.0,500
Drty Hard Seltzer White Citrus,397,30.076,4.0,330
Stone's Ginger Joe,399,30.227,4.0,330
Galdur ananas,460,30.976,4.5,330
Galdur lime,460,30.976,4.5,330
Thistly Cross Whisky Cask,690,31.208,6.7,330
Cool Grape Long Drink,599,33.003,5.5,330
Fresita,1999,33.317,8.0,750
Ólafsson Gin Seltzer Verdelli Lemon,495,33.333,4.5,330
Ólafsson Gin Seltzer Triple Orange,495,33.333,4.5,330
Gin & Grape,499,33.603,4.5,330
Bliss Hard Seltzer Basil Lemon Lime,499,33.603,4.5,330
Lov Límonaði & Vodka,499,33.603,4.5,330
VES Vodka Engifer & Sítrus,499,33.603,4.5,330
Bliss Hard Seltzer Pink Grape Raspberry,499,33.603,4.5,330
Bliss Hard Seltzer Mandarin Ginger,499,33.603,4.5,330
Gik Live bleikt,2947,34.168,11.5,750
Eldgos Mangó Tangó,499,34.366,4.4,330
Eldgos Flamingo Kokteill,499,34.366,4.4,330
Bara hindber og sítróna,499,34.366,4.4,330
Bara sítróna & yuzu lime,499,34.366,4.4,330
Bara brómber,499,34.366,4.4,330
Urban Farm Super Dry Cidah Wild Fermented,798,34.583,6.5,355
Kirsebærvin,3690,35.143,14.0,750
Eldgos Flamingo Kokteill kútur 30 lítrar,45423,35.212,4.3,30000
Kirsberry,3699,35.705,14.8,700
Classic Cocktails Mojito,6699,35.728,12.5,1500
Fresita Wine Blend with Strawberries,499,36.291,5.5,250
Bara Maracuja & Límóna,489,37.045,4.0,330
The Butterfly Cannon Rosa Spirit Drink,7490,37.45,40.0,500
Shaker Pineapple,559,37.643,4.5,330
Bacardi Mojito,3999,38.341,14.9,700
Bottega Negroni Premix,999,38.423,26.0,100
Koskenkorva Mojito,2899,38.653,15.0,500
Urban Farm Blueberry Cidah Wild Fermented,771,39.488,5.5,355
Bacardi Mojito,499,39.92,5.0,250
Bacardi Razz & Up,499,39.92,5.0,250
Sma Sure Cocktails Strawberry Pineapple and Lime,5990,39.933,10.0,1500
Gin Mango Cocktail,6950,40.29,11.5,1500
Lemon Vodka Mixed Drink,599,40.337,4.5,330
Pink Grape Vodka Mixed Drink,599,40.337,4.5,330
Aspide Spritz Aperitivo,4499,40.9,11.0,1000
Rashi Vineyards Joyvin Red,1690,40.97,5.5,750
Buzz Ballz Chili Mango,1140,42.222,13.5,200
Buzz Ballz Strawberry Rita,1140,42.222,13.5,200
Buzz Ballz Choc Tease,1140,42.222,13.5,200
Buzz Ballz Tequila Rita,1140,42.222,13.5,200
Koskenkorva Mojito,2999,42.539,4.7,1500
Abavas Rabarbers Sparkling Rhubarb Wine Brut,3995,44.389,12.0,750
Breezer Raspberry & Yuzu,499,45.364,4.0,275
Breezer Lemon,499,45.364,4.0,275
Breezer Blood Orange & Ginger,499,45.364,4.0,275
Breezer Lime,499,45.364,4.0,275
Breezer Strawberry,499,45.364,4.0,275
Breezer Mango,499,45.364,4.0,275
Breezer Watermelon,499,45.364,4.0,275
Breezer Pineapple,499,45.364,4.0,275
Breezer Zingy Lime,459,45.9,4.0,250
Breezer Sharp Ruby Grapefruit,459,45.9,4.0,250
Ginking Botanical Aromatic Fizz,2947,46.227,8.5,750
Coppa Sex on the Beach Cocktails,3498,49.971,10.0,700
Coppa Mai Tai Cocktails,3498,49.971,10.0,700
Coppa Cosmopolitan Cocktails,3498,49.971,10.0,700
Cidre Fermier Lemasson Brut,1890,50.4,5.0,750
Bramble Gin Cocktail,699,51.778,7.5,180
Liberation Cocktails Pisco Sour,1299,54.125,12.0,200
Easy Rum Punch,995,54.897,14.5,125
Easy Margarita,995,54.897,14.5,125
Easy Ginger Cosmo,995,54.897,14.5,125
Easy Passion Fruit Martini,995,54.897,14.5,125
Smirnoff Ice,579,57.9,4.0,250
Liberation Cocktails Strawberry Daquiri,4499,59.987,10.0,750
Funkin Cocktails Aperitivo Spritz,799,63.92,5.0,250
Nio Cocktails Old Fashioned,1990,67.918,29.3,100
Zwölberich Gold Cuvee,6359,70.656,12.0,750
Funkin Nitro Cocktails Pina Colada,799,79.9,5.0,200
Funkin Nitro Cocktails Strawberry Daiquiri,799,79.9,5.0,200
Funkin Nitro Cocktails Peach On The Beach,799,79.9,5.0,200
