name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Opera Prima Cabernet Sauvignon,5999,0.15382051282051282,13.0,3000
Red Blend Portugal by Casa Santos Lima,6998,0.17279012345679012,13.5,3000
Il Barone Rosso,6499,0.17330666666666666,12.5,3000
JP Azeitao Syrah Castelao Aragonez,6789,0.17407692307692307,13.0,3000
Galodoro Winmaker's Red,6648,0.17728,12.5,3000
Don Simon Seleccion Tempranillo,6399,0.17775,12.0,3000
Lab Vinho Regional Lisboa rautt,6998,0.17943589743589744,13.0,3000
Mamma Piccini Rosso di Toscana,6999,0.17946153846153845,13.0,3000
Piccanti Rosso Toscana,6999,0.17946153846153845,13.0,3000
Drostdy Hof Shiraz Merlot,7298,0.18019753086419754,13.5,3000
Rendola Red Wine,6498,0.1805,12.0,3000
Gauma Tempranillo,6790,0.18106666666666665,12.5,3000
Lirico Tinto Premium Selection,6799,0.18130666666666667,12.5,3000
Leva Reserve Cabernet Sauvignon Merlot,7348,0.1814320987654321,13.5,3000
Pata Negra Apasionado,7899,0.18158620689655172,14.5,3000
Torre Solada Rosso,1999,0.18172727272727274,11.0,1000
Gato Negro Cabernet Sauvignon,5999,0.18178787878787878,11.0,3000
Ponte Villoni Rosso,6299,0.18257971014492755,11.5,3000
Don Simon Merlot,2199,0.18325,12.0,1000
Don Simon Cabernet Sauvignon,2199,0.18325,12.0,1000
Colossal Reserva Tinto,7698,0.18328571428571427,14.0,3000
Stone Valley Shiraz,7999,0.18388505747126438,14.5,3000
Antiche Terre Solo Passione Rosso Gold Edition,7448,0.18390123456790122,13.5,3000
"Marques de las Cuevas Tempranillo, Cabernet",7190,0.18435897435897436,13.0,3000
Cigarra Reserva Shiraz Tinta Barroca,1798,0.1844102564102564,13.0,750
Castillo De Gredos Organic Red Wine,2399,0.18453846153846154,13.0,1000
Casalforte Collezione Campistorti Rosso Veneto,7198,0.18456410256410258,13.0,3000
Casa Cavallo Rosso,7248,0.18584615384615386,13.0,3000
Viva Valentina Sangiovese,7298,0.18712820512820513,13.0,3000
