name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML,vivino_rating
Opera Prima Cabernet Sauvignon,5999,15.382,13.0,3000,29.0
Red Blend Portugal by Casa Santos Lima,6998,17.279,13.5,3000,37.0
Il Barone Rosso,6499,17.331,12.5,3000,34.0
JP Azeitao Syrah Castelao Aragonez,6789,17.408,13.0,3000,38.0
Galodoro Winmaker's Red,6648,17.728,12.5,3000,37.0
Don Simon Seleccion Tempranillo,6399,17.775,12.0,3000,30.0
Lab Vinho Regional Lisboa rautt,6998,17.944,13.0,3000,38.0
Mamma Piccini Rosso di Toscana,6999,17.946,13.0,3000,36.0
Piccanti Rosso Toscana,6999,17.946,13.0,3000,34.0
Drostdy Hof Shiraz Merlot,7298,18.02,13.5,3000,32.0
Rendola Red Wine,6498,18.05,12.0,3000,39.0
Gauma Tempranillo,6790,18.107,12.5,3000,38.0
Lirico Tinto Premium Selection,6799,18.131,12.5,3000,29.0
Leva Reserve Cabernet Sauvignon Merlot,7348,18.143,13.5,3000,
Pata Negra Apasionado,7899,18.159,14.5,3000,36.0
Torre Solada Rosso,1999,18.173,11.0,1000,29.0
Gato Negro Cabernet Sauvignon,5999,18.179,11.0,3000,34.0
Ponte Villoni Rosso,6299,18.258,11.5,3000,34.0
Don Simon Merlot,2199,18.325,12.0,1000,35.0
Don Simon Cabernet Sauvignon,2199,18.325,12.0,1000,34.0
Colossal Reserva Tinto,7698,18.329,14.0,3000,
Stone Valley Shiraz,7999,18.389,14.5,3000,34.0
Antiche Terre Solo Passione Rosso Gold Edition,7448,18.39,13.5,3000,36.0
"Marques de las Cuevas Tempranillo, Cabernet",7190,18.436,13.0,3000,35.0
Cigarra Reserva Shiraz Tinta Barroca,1798,18.441,13.0,750,35.0
Castillo De Gredos Organic Red Wine,2399,18.454,13.0,1000,25.0
Casalforte Collezione Campistorti Rosso Veneto,7198,18.456,13.0,3000,37.0
Casa Cavallo Rosso,7248,18.585,13.0,3000,36.0
Viva Valentina Sangiovese,7298,18.713,13.0,3000,37.0
Porta 6 Vinho Tinto,7599,18.763,13.5,3000,38.0
Don Simon Seleccion Tempranillo,1699,18.878,12.0,750,30.0
Lab Reserva Touriga Nacional Cabernet Sauvignon,7948,18.924,14.0,3000,39.0
Stemmari Rosso,7399,18.972,13.0,3000,39.0
Zensa Primitivo,7998,19.043,14.0,3000,39.0
Hope Grand Reserve Cabernet Sauvignon Merlot Shiraz,7998,19.043,14.0,3000,40.0
Piccini Memoro rautt,7999,19.045,14.0,3000,38.0
Lab Best in Show Tinto Red,5398,19.279,14.0,2000,37.0
The Wanted Zin Zinfandel Old Vines,8398,19.306,14.5,3000,38.0
