name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Jinro Green Grape,1073,0.22927350427350426,13.0,360
Jinro Grapefruit,1073,0.22927350427350426,13.0,360
Valhalla Mjöd,2899,0.285615763546798,14.5,700
Jinro Chamisul Original,2056,0.29225302061122954,20.1,350
Fluga,690,0.3605015673981191,5.8,330
Drottningin,2190,0.4492307692307692,13.0,375
Akashi-Tai Shiraume Ginjo Umeshu,3798,0.5425714285714286,14.0,500
Rjóð mjöður,1189,0.5543123543123543,6.5,330
Blámi mjöður,1290,0.6515151515151515,6.0,330
Akashi-Tai Junmai,3099,0.6886666666666666,15.0,300
Akashi-Tai Ginjo Yuzushu,3798,0.7596,10.0,500
Akashi-Tai Junmai Daiginjo,3899,0.7645098039215686,17.0,300
