name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Malfy Gin Con Arancia (Blood Orange),4698,0.16369337979094076,41.0,700
Malfy Gin Rosa,4698,0.16369337979094076,41.0,700
Moskovskaya,6204,0.22157142857142856,40.0,700
Tinda vodka,8999,0.23997333333333334,37.5,1000
Glen's Vodka,9198,0.24528,37.5,1000
Glen's Vodka,6448,0.24563809523809524,37.5,700
Burn McKenzie Blended Scotch Whiskey,9898,0.24745,40.0,1000
Clansman Blended Scotch,9898,0.24745,40.0,1000
Glen's Gin,6498,0.24754285714285715,37.5,700
Eldurís,9290,0.24773333333333333,37.5,1000
Eldvatn,4990,0.2495,40.0,500
Highland Baron Blended Scotch,6998,0.24992857142857142,40.0,700
Clansman Blended Scotch,6998,0.24992857142857142,40.0,700
Brennivín,6999,0.24996428571428572,40.0,700
Glen's Vodka,4689,0.25008,37.5,500
Tinda vodka,4690,0.2501333333333333,37.5,500
Baraldur,4690,0.2501333333333333,37.5,500
Koskenkorva,9399,0.25064,37.5,1000
Eldurís,4740,0.2528,37.5,500
Casanis Pastis de Marseille,7999,0.25393650793650796,45.0,700
Glen's Vodka,3348,0.2550857142857143,37.5,350
Koskenkorva,6698,0.25516190476190476,37.5,700
Koskenkorva,4799,0.25594666666666666,37.5,500
Smirnoff,9699,0.25864,37.5,1000
Koskenkorva,3399,0.2589714285714286,37.5,350
Glen's White Rum,6798,0.2589714285714286,37.5,700
Koskenkorva Organic Vodka,6799,0.2590095238095238,37.5,700
Clansman Blended Scotch,5198,0.2599,40.0,500
Scottish Leader,10399,0.259975,40.0,1000
Absolut,10399,0.259975,40.0,1000
Havana Club 3 ára,7299,0.2606785714285714,40.0,700
Smirnoff,6850,0.26095238095238094,37.5,700
Koskenkorva,2099,0.262375,40.0,200
Stolichnaya,6990,0.26278195488721806,38.0,700
Brennivín,9890,0.2637333333333333,37.5,1000
Finlandia,9899,0.26397333333333334,37.5,1000
Clansman Blended Scotch,3698,0.2641428571428571,40.0,350
Sam Barton Canadian Whisky 5 ára,7398,0.26421428571428573,40.0,700
Beefeater,5299,0.26495,40.0,500
Gibson's Blood Orange Premium Gin,6989,0.26624761904761907,37.5,700
Poliakov vodka,6989,0.26624761904761907,37.5,700
Gibson's Pink Premium Gin,6989,0.26624761904761907,37.5,700
Glen's Vodka,1998,0.2664,37.5,200
Poliakov vodka,3498,0.2665142857142857,37.5,350
Smirnoff,3499,0.2665904761904762,37.5,350
Negrita Rhum,4999,0.2666133333333333,37.5,500
Gibson's London Dry Gin,4999,0.2666133333333333,37.5,500
Helvíti Vodka,6999,0.26662857142857144,37.5,700
Zubrowka Biala Vodka,6999,0.26662857142857144,37.5,700
Zubrowka Bison Grass,6999,0.26662857142857144,37.5,700
Finlandia,6999,0.26662857142857144,37.5,700
Helix 7 Vodka,6999,0.26662857142857144,37.5,700
Stroh 80,10699,0.267475,80.0,500
Lithuanian Vodka Auksine,7490,0.2675,40.0,700
Angostura 5 ára,7490,0.2675,40.0,700
Cutty Sark,7499,0.2678214285714286,40.0,700
Smirnoff,5399,0.26995,40.0,500
Beefeater,5399,0.26995,40.0,500
Askur Yggdrasil Gin,7099,0.27043809523809526,37.5,700
Lithuanian Vodka Auksine,3790,0.27071428571428574,40.0,350
Scottish Leader,7598,0.27135714285714285,40.0,700
Absolut Citron,7598,0.27135714285714285,40.0,700
Absolut,7598,0.27135714285714285,40.0,700
Beefeater,7599,0.27139285714285716,40.0,700
Gordon's,10199,0.27197333333333334,37.5,1000
Bardinet VSOP French Brandy,4899,0.27216666666666667,36.0,500
Gordon's Sicilian Lemon,7150,0.2723809523809524,37.5,700
Gordon's,7150,0.2723809523809524,37.5,700
Barceló Dorado,7199,0.2742476190476191,37.5,700
Label 5 Classic Black,7690,0.27464285714285713,40.0,700
Label 5 Single Grain Bourbon Barrel,7690,0.27464285714285713,40.0,700
Label 5 Classic Black,10990,0.27475,40.0,1000
Finlandia,2199,0.274875,40.0,200
Scottish Leader,5499,0.27495,40.0,500
Label 5 Classic Black,5499,0.27495,40.0,500
Beefeater,10999,0.274975,40.0,1000
Ballantine's Finest,10999,0.274975,40.0,1000
Braastad VS,5899,0.27501165501165503,42.9,500
Aalborg Taffel Akvavit,12399,0.27553333333333335,45.0,1000
Gordon's Premium Pink,7250,0.2761904761904762,37.5,700
Brennivín,5190,0.2768,37.5,500
Finlandia,5199,0.27728,37.5,500
Ísafold Gin,5199,0.27728,37.5,500
Courriere Napoleon VSOP Brandy,4999,0.2777222222222222,36.0,500
JP. Chenet VSOP,6999,0.27773809523809523,36.0,700
Havana Club 3 ára,7299,0.27805714285714284,37.5,700
Barceló Blanco,7299,0.27805714285714284,37.5,700
Barracuda Silver Rum,7398,0.2781203007518797,38.0,700
Captain Morgan Black Spiced,7790,0.2782142857142857,40.0,700
Label 5 Classic Black,3899,0.2785,40.0,350
Beefeater,3899,0.2785,40.0,350
O.P. Anderson Aquavit,7799,0.2785357142857143,40.0,700
Smirnoff,2099,0.27986666666666665,37.5,200
Gordon's,5250,0.28,37.5,500
Tito's Handmade Vodka,7850,0.28035714285714286,40.0,700
Wild Dry Gin Botanical gin,8441,0.28136666666666665,40.0,750
Reykjavík Vodka,5349,0.2815263157894737,38.0,500
Reykjavík Pink Gin,5349,0.2815263157894737,38.0,500
Reykjavík Gin,5349,0.2815263157894737,38.0,500
Reykjavík Dry Gin,5349,0.2815263157894737,38.0,500
Reykjavík Rum,5349,0.2815263157894737,38.0,500
Bacardi Carta Blanca,7399,0.28186666666666665,37.5,700
Johnnie Walker Red Label,7899,0.28210714285714283,40.0,700
The Famous Grouse,11299,0.282475,40.0,1000
Bacardi Carta Blanca,5299,0.2826133333333333,37.5,500
Aalborg Taffel Akvavit,6399,0.2844,45.0,500
Ballantine's Finest,5699,0.28495,40.0,500
Pernod,11399,0.284975,40.0,1000
Reyka Vodka,11399,0.284975,40.0,1000
Beefeater London Pink Strawberry,10699,0.28530666666666665,37.5,1000
Beefeater London Blood Orange,10699,0.28530666666666665,37.5,1000
Katla Vodka,7990,0.28535714285714286,40.0,700
Tanqueray,12299,0.28535962877030163,43.1,1000
Broker's London Dry Gin,7995,0.2855357142857143,40.0,700
Koskenkorva Spirit Drink,2999,0.2856190476190476,21.0,500
Absolut Raspberri,7598,0.2856390977443609,38.0,700
Absolut Vanilia,7598,0.2856390977443609,38.0,700
Absolut Extrakt,6999,0.2856734693877551,35.0,700
Bacardi Spiced,6999,0.2856734693877551,35.0,700
Havana Club Anejo Especial,7499,0.2856761904761905,37.5,700
Pampero Ron Blanco,7499,0.2856761904761905,37.5,700
Sierra Tequila Silver,7599,0.2856766917293233,38.0,700
Ouzo of Plomari,7999,0.28567857142857145,40.0,700
Bacardi Carta Oro,7999,0.28567857142857145,40.0,700
Nemiroff de Luxe Vodka,7999,0.28567857142857145,40.0,700
Holger Danske Guld Akvavit,7999,0.28567857142857145,40.0,700
Loki Vodka,7999,0.28567857142857145,40.0,700
