name,price,ISK_Per_ML_Ethanol,alcoholPercentage,volume_ML
Fill de la Pluja Garnatxa Blanca,1499,15.374,13.0,750
Robertson Winery Sauvignon Blanc,6291,16.776,12.5,3000
Torre Solada Bianco,1850,16.818,11.0,1000
Galodoro Winemaker's White,6648,17.728,12.5,3000
Robertson Winery Chardonnay,6942,17.8,13.0,3000
Leva Chardonnay Dimiat & Muscat,6998,17.944,13.0,3000
Fernando White Wine Fresh and Fruity,4899,18.144,9.0,3000
Don Simon Chardonnay Airen,1999,18.173,11.0,1000
JP Azeitao Moscatel Graudo Fernao Pires,7117,18.249,13.0,3000
Lirico Blanco Premium Selection,6299,18.258,11.5,3000
Castillo De Gredos Organic White Wine,2199,18.325,12.0,1000
Two Oceans Fresh & Fruity,6599,18.331,12.0,3000
Lab Fresh & Fruity,6898,18.395,12.5,3000
Setencostas Fresh & Fruity Vinho Branco,6948,18.528,12.5,3000
Opera Prima Chardonnay,6399,18.548,11.5,3000
Viva Valentina Pinot Grigio,7248,18.585,13.0,3000
Leva Riesling,6698,18.606,12.0,3000
Lab Best in Show hvítt,4698,18.792,12.5,2000
Lab Vinho Regional Lisboa hvítt,1798,19.179,12.5,750
Roche Mazet Chardonnay,7198,19.195,12.5,3000
Bella Fiore Chardonnay,6998,19.439,12.0,3000
Drostdy Hof Chenin Blanc,6998,19.439,12.0,3000
Montalto Pinot Grigio,6999,19.442,12.0,3000
San Valentin Parellada,6750,19.565,11.5,3000
Gato Negro Chardonnay,1839,19.616,12.5,750
Neleman Verdejo Organic,589,19.633,12.0,250
Don Simon Nature Chardonnay,1699,19.699,11.5,750
Inycon Chardonnay Pinot Grigio,7980,19.704,13.5,3000
Allumea Grillo Chardonnay,1998,19.733,13.5,750
Carolina Chardonnay Reserva,1999,19.743,13.5,750
Arthur Metz Pinot Pinot & Cie,5599,19.908,12.5,2250
White Blend Portugal by Casa Santos Lima,1798,19.978,12.0,750
Vina Maipo Mi Pueblo Chardonnay,6599,19.997,11.0,3000
Two Oceans Sauvignon Blanc,7199,19.997,12.0,3000
Don Simon Chardonnay Airen,550,20.0,11.0,250
Ramos Elegant White Signature Blend,7299,20.275,12.0,3000
Hans Baer Riesling,3499,20.284,11.5,1500
Mezzacorona Pinot Grigio,6999,20.287,11.5,3000
Frontera Chardonnay,6699,20.3,11.0,3000
Dr. Zenzen Liebfraumilch,5199,20.388,8.5,3000
Celeste Verdejo,1990,20.41,13.0,750
The Wanted Chard Chardonnay,1998,20.492,13.0,750
Diamond Hill Chardonnay,7999,20.51,13.0,3000
Stone Valley Chardonnay,7999,20.51,13.0,3000
Tall Horse Wines Chardonnay,2099,20.731,13.5,750
Adobe Chardonnay,8399,20.738,13.5,3000
Fuori Porta Sangiovese Vinificato in Bianco,1948,20.779,12.5,750
Drostdy Hof Chardonnay Viognier,7799,20.797,12.5,3000
Tommasi Adorato Appassionato,7899,21.064,12.5,3000
Lab Moscato,1898,21.089,12.0,750
Vina Maipo Sauvignon Blanc Chardonnay,1899,21.1,12.0,750
Barefoot Pinot Grigio,7599,21.108,12.0,3000
JP. Chenet Medium Sweet,7299,21.157,11.5,3000
Lab Vinho Verde Branco,1748,21.188,11.0,750
Hope Reserve Chardonnay,4298,21.225,13.5,1500
Solandia Grillo,1990,21.227,12.5,750
Deutsches Weintor Grauer Burgunder Trocken,7990,21.307,12.5,3000
Mamma Piccini Bianco di Toscana,1999,21.323,12.5,750
Stemmari Pinot Grigio,7999,21.331,12.5,3000
Mucho Mas Blanco,7999,21.331,12.5,3000
Viva Valentina Riesling,3698,21.438,11.5,1500
Goats do Roam Cool Crisp White,8690,21.457,13.5,3000
Barefoot Sauvignon Blanc,2098,21.518,13.0,750
Carlo Rossi California White,3399,21.581,10.5,1500
Leva Sauvignon Blanc,1948,21.644,12.0,750
Angelo Pinot Grigio,1949,21.656,12.0,750
Lindeman's Chardonnay,7499,21.736,11.5,3000
Lirico Blanco Premium Selection,1899,22.017,11.5,750
Viva Valentina Pinot Grigio,4298,22.041,13.0,1500
Pasqua Chardonnay Organic,8290,22.107,12.5,3000
Freixenet Mia Aromatic & Fruity White,7990,22.194,12.0,3000
Frontera Chardonnay,1999,22.211,12.0,750
Villa Lucia Pinot Grigio,1999,22.211,12.0,750
Torres Vina Sol,1999,22.211,12.0,750
Two Oceans Sauvignon Blanc,1999,22.211,12.0,750
Barefoot Pinot Grigio,3999,22.217,12.0,1500
Tommasi Pinot Grigio,7999,22.219,12.0,3000
Drostdy Hof Chenin Blanc,2098,22.379,12.5,750
Hope Reserve Chenin Blanc,2098,22.379,12.5,750
Torri Passerina Organic Wine,8790,22.538,13.0,3000
Viva Valentina Pinot Grigio,1099,22.544,13.0,375
Adobe Reserva Chardonnay,2299,22.706,13.5,750
Sancrispino Catarratto Inzolia Bio,1390,23.167,12.0,500
Adobe Chardonnay,4699,23.205,13.5,1500
Barefoot Pinot Grigio,2098,23.311,12.0,750
Nederburg Stein Chenin Blanc,2098,23.311,12.0,750
Maximus Pinot Grigio,2190,23.36,12.5,750
Porta 6 Vinho Branco,2199,23.456,12.5,750
Van Gogh Riesling,5999,23.525,8.5,3000
El Coto Blanco Verdejo,2299,23.579,13.0,750
Serafini Chardonnay,2148,23.867,12.0,750
Gato Negro Sauvignon Blanc,559,23.914,12.5,187
Espiritu de Chile White Wine Seleccion,4490,23.947,12.5,1500
Tommolo Pecorino Organic,8998,23.995,12.5,3000
Viva Valentina Pinot Grigio,2348,24.082,13.0,750
Barton & Guestier Vin Blanc Cuvee Speciale,1990,24.121,11.0,750
Blue Fish Riesling,2190,24.132,12.1,750
Torres San Valentin,1999,24.23,11.0,750
Montalto Pinot Grigio,2099,24.336,11.5,750
Bouchard Aine Blanc de Blancs Collection,2199,24.433,12.0,750
Terre Del Noce Pinot Grigio,2199,24.433,12.0,750
El Coto Blanco,2199,24.433,12.0,750
JP. Chenet Medium Sweet,2199,24.433,12.0,750
Montalto Catarratto,2199,24.433,12.0,750
Lamberti Pinot Grigio,2199,24.433,12.0,750
Vina Eguia Blanco,2299,24.523,12.5,750
Rossetti Bianco,2299,24.523,12.5,750
Castillo de Aresan Chardonnay,2299,24.523,12.5,750
Adobe Reserva Sauvignon Blanc,2299,24.523,12.5,750
Amalaya Blanco de Corte Torrontes Riesling,2299,24.523,12.5,750
Moselland Riesling Kabinett,5890,24.542,8.0,3000
Yellow Tail Chardonnay,2398,24.595,13.0,750
Montgras de Vine Chardonnay Reserva,2399,24.605,13.0,750
Stemmari Chardonnay,2399,24.605,13.0,750
Montgras de Vine Sauvignon Blanc Reserva,2399,24.605,13.0,750
Rosemount GTR,7399,24.663,10.0,3000
Hardys Nottage Hill Chardonnay,2498,24.672,13.5,750
Castillo de Molina Chardonnay Reserva,2499,24.681,13.5,750
Casillero del Diablo Reserva Chardonnay,2499,24.681,13.5,750
Chateau Petit Boyer Seduction Blanc,2592,24.686,14.0,750
Montes Chardonnay Reserva,2599,24.752,14.0,750
Dark Horse Chardonnay,2699,24.818,14.5,750
Pete's Pure Pinot Grigio,2149,24.916,11.5,750
Pasqua Pinot Grigio,4490,24.944,12.0,1500
Laroche L Chardonnay,4499,24.994,12.0,1500
Finca del Mar Chardonnay,2350,25.067,12.5,750
Zonin Pinot Grigio,2259,25.1,12.0,750
bree Riesling,1979,25.13,10.5,750
Porcupine Ridge Sauvignon Blanc,2279,25.322,12.0,750
Freixenet Mia Aromatic & Fruity White,2190,25.391,11.5,750
Gauma Airen Dry White,2190,25.391,11.5,750
Viva Valentina Riesling,2098,25.43,11.0,750
Villa Puccini Pinot Grigio,2290,25.444,12.0,750
Weinhaus der Stadt Mainz Rheinhessen Riesling,2290,25.444,12.0,750
Adobe Reserva Chardonnay,1290,25.481,13.5,375
Domane Wachau Gruner Veltliner Selection,2390,25.493,12.5,750
Aussie Rules Chardonnay Estate Selection,2390,25.493,12.5,750
Zenato Soave Classico,2390,25.493,12.5,750
Zenato Pinot Grigio della Venezie,2390,25.493,12.5,750
Yellow Tail Pinot Grigio,2199,25.496,11.5,750
Radacini Pinot Grigio,2489,25.528,13.0,750
Radacini Blanc de Cabernet,2489,25.528,13.0,750
Marques de Riscal Verdejo,2490,25.538,13.0,750
Tagaro Pinataro Chardonnay,2299,25.544,12.0,750
Cune Afrutado,2299,25.544,12.0,750
Provincia di Pavia Pinot Grigio,799,25.568,12.5,250
Baron de Ley hvítt,2398,25.579,12.5,750
Ancora Pinot Grigio,2398,25.579,12.5,750
Pesce Bianco Organic,2398,25.579,12.5,750
Hardys Nottage Hill Sauvignon Blanc,2399,25.589,12.5,750
Casillero del Diablo Sauvignon Blanc Reserva,2499,25.631,13.0,750
Jacob's Creek Chardonnay,2499,25.631,13.0,750
Cono Sur Bicicleta Reserva Pinot Grigio,2499,25.631,13.0,750
Morande Pionero Reserva Chardonnay,2499,25.631,13.0,750
19 Crimes Chard,2499,25.631,13.0,750
Castillo Monjardin Chardonnay,2499,25.631,13.0,750
Trivento Chardonnay Reserve,2499,25.631,13.0,750
Morande Pionero Reserva Sauvignon Blanc,2499,25.631,13.0,750
Fleur du Cap Chardonnay,2599,25.669,13.5,750
Beringer Chardonnay,2599,25.669,13.5,750
Hubert Sandhofer Junger,2227,25.82,11.5,750
Van Cat Kangun,2554,26.195,13.0,750
bree secco chardonnay,579,26.318,11.0,200
Bigi Grechetto Umbria,2470,26.347,12.5,750
French Dog Colombard & Chardonnay,2190,26.545,11.0,750
Voga Pinot Grigio,2390,26.556,12.0,750
Bolla Pinot Grigio,2390,26.556,12.0,750
Gemma di Luna Pinot Grigio,2390,26.556,12.0,750
Oroya hvítt,2390,26.556,12.0,750
Beau Rivage Blanc,2689,26.558,13.5,750
Raposinha hvítt,2490,26.56,12.5,750
Santa Sofia Pinot Grigio Le Calderare,2490,26.56,12.5,750
Chardny Liver More,2590,26.564,13.0,750
Bayanegra Sauvignon Blanc,2591,26.574,13.0,750
Barefoot Moscato,1798,26.637,9.0,750
Two Oceans Moscato,1599,26.65,8.0,750
Rosemount GTR,1999,26.653,10.0,750
Mucho Mas Blanco,2499,26.656,12.5,750
Schittler Becker Grauer Burgunder trocken Gutswein,2499,26.656,12.5,750
Montes Sauvignon Blanc Reserva,2599,26.656,13.0,750
Villa Wolf Pinot Gris,2499,26.656,12.5,750
Stemmari Pinot Grigio,2499,26.656,12.5,750
Apothic White,2499,26.656,12.5,750
Fantini Pinot Grigio,2399,26.656,12.0,750
Riporta Pinot Grigio Small Batch,2499,26.656,12.5,750
Silk & Spice White Blend,2499,26.656,12.5,750
Charming Rabbit Chardonnay,2599,26.656,13.0,750
Bouchard Aine Chardonnay Heritage du Conseiller,2499,26.656,12.5,750
Dark Horse Pinot Grigio,2599,26.656,13.0,750
Ecologica Torrontes Chardonnay,2499,26.656,12.5,750
Montgras Day One Chardonnay Selected Harvest,2699,26.657,13.5,750
Chateau Barbe Blanc Sec,2799,26.657,14.0,750
Novas Chardonnay Gran Reserva,2799,26.657,14.0,750
Real Agrado Hvítt,2500,26.667,12.5,750
Mission St. Vincent Sauvignon Blanc,2423,26.922,12.0,750
Erben Riesling Halbtrocken,2227,26.994,11.0,750
Poderi dal Nespoli Orange Wine,2542,27.115,12.5,750
Hubert Sandhofer Pinot Blanc,2751,27.17,13.5,750
Lenz Moser Prestige Pinot Gris,2652,27.2,13.0,750
Pievasciata Chardonnay,2779,27.447,13.5,750
With Love Pecorino,2690,27.59,13.0,750
Bollina Safran Pinot Grigio,2690,27.59,13.0,750
Lenz Moser Selection Chardonnay,2587,27.595,12.5,750
Campet Ste Marie Chardonnay,2799,27.644,13.5,750
Pfaffl Chardonnay vom Haus,2799,27.644,13.5,750
Glen Carlou petite Chardonnay,2799,27.644,13.5,750
Hubert Sandhofer Gruner Veltliner,2489,27.656,12.0,750
Hubert Sandhofer Sauvignon Blanc Eisner,2489,27.656,12.0,750
Sartori Pinot Grigio Garda,2490,27.667,12.0,750
Cotes de Thau Carte Postale Vin Blanc,2490,27.667,12.0,750
Gerard Bertrand Chardonnay Cite de Carcassonne,2699,27.682,13.0,750
Bellingham Chardonnay,2699,27.682,13.0,750
Montgras Day One Sauvignon Blanc Selected Harvest,2699,27.682,13.0,750
Freixenet Pinot Grigio,2390,27.71,11.5,750
Villa Girardi Pinot Grigio,2495,27.722,12.0,750
Farmers Market Organic hvítt,2599,27.723,12.5,750
Cantina Zaccagnini Pinot Grigio,2599,27.723,12.5,750
Purato Catarratto Pinot Grigio,2599,27.723,12.5,750
Codorniu Albarino,2499,27.767,12.0,750
Wittmann 100 Hugel Riesling,2499,27.767,12.0,750
Flor de Crasto Vinho Branco,2499,27.767,12.0,750
Marlborough Sun Sauvignon Blanc,2499,27.767,12.0,750
Remole Bianco,2499,27.767,12.0,750
Schittler Becker Riesling Classic Fundament,2399,27.814,11.5,750
Paxis Arinto,2401,27.838,11.5,750
Yellow Tail Pinot Grigio,599,27.854,11.5,187
JP. Chenet Colombard Chardonnay,599,27.854,11.5,187
Barefoot Pinot Grigio,629,28.03,12.0,187
Cameleon chardonnay & feteasca alba & sauvignon,2938,28.182,13.9,750
Bovin Symphony hvítt,2751,28.215,13.0,750
Yeya,2751,28.215,13.0,750
Bon Courage Estate Sauvignon Blanc,2757,28.277,13.0,750
JP. Chenet Medium Sweet,849,28.3,12.0,250
Barefoot Riesling,1699,28.317,8.0,750
Tuna Club Verdejo Sauvignon Blanc,2655,28.32,12.5,750
Monte da Raposinha hvítt,2550,28.333,12.0,750
Bergamo Vini Tai,2764,28.349,13.0,750
Cono Sur Bicicleta Viognier,2890,28.543,13.5,750
Nederburg Private Collection Sauvignon Blanc,2999,28.562,14.0,750
Olivier Lafont Cotes du Rhone Blanc,2899,28.632,13.5,750
Alba Martin Albarino No 6153 / Po,2690,28.693,12.5,750
Chateau Lafont Fourcat Blanc,2690,28.693,12.5,750
Mariana Vinho Branco,2690,28.693,12.5,750
Folklore Albarino,2690,28.693,12.5,750
Marques de la Concordia Blanco Rioja Santiago,2690,28.693,12.5,750
Adro Da Se Encruzado,2799,28.708,13.0,750
Laurent Miquel Solas Chardonnay,2799,28.708,13.0,750
Finca Las Moras Reserva Chardonnay,2799,28.708,13.0,750
Rapitala Chardonnay,2699,28.789,12.5,750
Tommasi Adorato Appassionato,2699,28.789,12.5,750
Torres Vina Sol,648,28.877,12.0,187
Tommasi Soave Classico Le Volpare,2599,28.878,12.0,750
Julia Schittler Sauvignon Blanc trocken Ortswein,2599,28.878,12.0,750
Pizzolato Pinot Grigio,2599,28.878,12.0,750
Pares Balta Blanc de Pacs,2499,28.974,11.5,750
Baron de Ley Semi Dulce,2398,29.067,11.0,750
Rudesheimer Rosengarten Riesling Feinherb,2290,29.079,10.5,750
Tenuta di Sticciano Argillaria Bianco,2751,29.344,12.5,750
Allegro Chardonnay Organic,2972,29.353,13.5,750
Lucien Albrecht Cuvee Romanus Pinot Gris,3090,29.429,14.0,750
Villa Maria Chardonnay Private Bin East Coast,2874,29.477,13.0,750
Goats do Roam White Blend,2990,29.531,13.5,750
Albino Armani Lugana,2990,29.531,13.5,750
